"CodeWilaya";"Wilaya";"Moughataa";"Commune";"Center";"CodeCentre";"CodeBureau";"NbInscrits";"nbVotant";"nbVoteNull";"nbVoteNeutre";"nbSuffrage";"nbVoix";"Candidat"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;96;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;13;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;6;"Biram Dah Dah ABEID (Biram)"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;0;"Mohamed Sidi MAOULOUD (Maouloud)"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"10";"Guidimagha";"Ghabou";"Baydjam";"Ecole Keleyle";"07";"01";164;120;5;0;115;0;"KANE Hamidou Baba (Kane)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;154;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;16;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;16;"Biram Dah Dah ABEID (Biram)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;27;"Mohamed Sidi MAOULOUD (Maouloud)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Lycée Moudjéria";"03";"01";401;220;5;1;214;0;"KANE Hamidou Baba (Kane)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;71;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;5;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;0;"Biram Dah Dah ABEID (Biram)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;0;"Mohamed Sidi MAOULOUD (Maouloud)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Boghé";"Boghé";"RACHID";"28";"01";86;77;0;0;77;1;"KANE Hamidou Baba (Kane)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;156;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;6;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;0;"Biram Dah Dah ABEID (Biram)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;0;"Mohamed Sidi MAOULOUD (Maouloud)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"02";"Hodh El Gharbi";"Tintane";"Devaa";"Ecole Medina Mounawara";"06";"01";196;164;2;0;162;0;"KANE Hamidou Baba (Kane)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;72;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;58;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;13;"Biram Dah Dah ABEID (Biram)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;3;"Mohamed Sidi MAOULOUD (Maouloud)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"08";"Dakhlet Nouadhibou";"Chami";"Chami";"Dispensaire Chami";"01";"03";559;149;2;0;147;1;"KANE Hamidou Baba (Kane)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;93;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;51;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;10;"Biram Dah Dah ABEID (Biram)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;2;"Mohamed Sidi MAOULOUD (Maouloud)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole Touajil";"06";"01";236;164;2;0;162;6;"KANE Hamidou Baba (Kane)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;49;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;3;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;15;"Biram Dah Dah ABEID (Biram)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;2;"Mohamed Sidi MAOULOUD (Maouloud)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"06";"Trarza";"Rosso";"Rosso";"Tayba";"39";"01";80;78;8;0;70;1;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;134;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;39;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;3;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;2;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Amourj";"Amourj";"Ecole 2";"01";"02";452;187;7;1;179;0;"KANE Hamidou Baba (Kane)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;22;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;53;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;1;"Biram Dah Dah ABEID (Biram)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"06";"Trarza";"Ouad Naga";"Ouad Naga";"El Beled El Emin";"13";"01";157;78;1;0;77;0;"KANE Hamidou Baba (Kane)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;95;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;23;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;7;"Biram Dah Dah ABEID (Biram)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"01";"Hodh Chargui";"Bassiknou";"Bassiknou";"Hsey Lebyadh";"07";"02";308;136;5;2;129;2;"KANE Hamidou Baba (Kane)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;65;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;45;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;11;"Biram Dah Dah ABEID (Biram)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;3;"Mohamed Sidi MAOULOUD (Maouloud)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"11";"Tiris Zemmour";"F'Deirick";"F'Deirick";"Ecole 1";"04";"01";312;129;1;2;126;1;"KANE Hamidou Baba (Kane)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;152;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;18;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;7;"Biram Dah Dah ABEID (Biram)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;12;"Mohamed Sidi MAOULOUD (Maouloud)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"09";"Tagant";"Moudjeria";"Moudjeria";"Ecole 2 Moudjeria";"02";"02";329;196;6;0;190;1;"KANE Hamidou Baba (Kane)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;199;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;26;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;22;"Biram Dah Dah ABEID (Biram)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;5;"Mohamed Sidi MAOULOUD (Maouloud)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"02";"Hodh El Gharbi";"Tamcheket";"Tamcheket";"Elevage";"01";"01";429;264;12;0;252;0;"KANE Hamidou Baba (Kane)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;134;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;12;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;25;"Biram Dah Dah ABEID (Biram)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;4;"Mohamed Sidi MAOULOUD (Maouloud)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;76;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"03";"Assaba";"Kiffa";"Kiffa";"Dispensaire Seif";"07";"02";411;183;3;3;177;1;"KANE Hamidou Baba (Kane)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;40;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;33;"Biram Dah Dah ABEID (Biram)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;1;"Mohamed Sidi MAOULOUD (Maouloud)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;0;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"05";"Brakna";"Aleg";"Aleg";"Ecole 1";"02";"01";238;166;6;3;157;7;"KANE Hamidou Baba (Kane)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;112;"Biram Dah Dah ABEID (Biram)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;17;"KANE Hamidou Baba (Kane)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;112;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;1;"Mohamed Lemine El Mourteji El WAVI (Wavi)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;5;"Mohamed Sidi MAOULOUD (Maouloud)"
"04";"Gorgol";"M'Bout";"M'Bout";"Ecole 1";"01";"02";525;277;9;2;266;19;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;68;"Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)"
"05";"Brakna";"Boghé";"Boghé";"Daghvegue";"02";"01";413;325;9;0;316;20;"Sidi Mohamed Boubacar BOUSSALEF (Boubacar)"
